sale_def,saleyymm,bed,bath,area_heated,area,dist_cbd,dist_lakes,pool,property_id,pcode
145678,200308,3,2,1793,8623,13557.86,395.83,0,598,235
129370,200201,3,2,1456,10000,29950.67,2256.33,0,907,236
129434,200204,3,2,1588,12745,12219.27,4026.76,1,983,237
179246,200210,4,3,2170,10802,13377.18,295.18,0,607,238
134616,200410,3,2,1300,4401,20002.29,1137.67,0,543,239
781839,200312,3,4,4767,16834,18639.26,572.79,1,146,240
238468,200410,5,3,3104,9250,14843.11,157.84,0,573,241
136108,200004,2,1,891,9965,3374.19,172.29,1,9,242
328364,200306,4,3,3193,19093,11016.18,3927.44,0,686,243
297476,200311,5,4,3195,10625,20727.87,642.15,1,806,244
138249,200203,3,2.5,2215,7061,24417.97,924.65,0,700,245
142022,200307,4,2,1470,4739,14899.03,5369.5,0,693,246
197115,200309,3,2,2373,10587,22076.84,160.02,0,721,247
683963,200404,4,2,2887,28896,9401.11,203.74,1,407,248
191195,200210,4,2,2153,7354,16952.1,246.57,1,531,249
157871,200409,3,2,1948,7076,25729.14,1267.79,0,786,250
154833,200105,3,2,1534,11795,7592.32,671.5,1,431,251
102801,200009,3,2,1612,7449,13924.94,840.28,0,484,252
217989,200310,5,3,2976,13688,21522.69,5798.28,0,812,253
91311,200002,3,2,1237,10540,12766.26,688.7,0,200,254
98925,200102,3,2,1279,7868,17066.14,840.05,0,650,255
114271,200406,3,2,1432,8257,8462.86,763.82,0,52,256
138659,200312,3,2.5,1561,2906,23182.13,2323.35,0,668,257
142952,200306,4,2.5,1718,5499,10788.86,409.23,0,902,258
63849,200405,3,1,1029,9584,12182.69,138.88,0,815,259
142396,200405,3,2,1324,5740,11856.63,3550.26,0,639,260
194499,200108,3,2,2391,14337,6051.12,38.14,0,890,261
118846,200109,3,2,1874,5499,16922.81,5831.24,0,628,262
113689,200103,3,2,1484,9822,8259.51,82.48,1,75,263
181576,200305,3,2,1633,6552,11594.54,385.36,0,209,264
108312,200411,3,2,1595,10629,18864.22,5607.36,0,116,265
255767,200005,4,2.5,3446,10472,20482.88,8005.85,0,765,266
170124,200307,4,2,1895,5498,21579.06,1343.86,0,113,267
102011,200203,3,2,1724,2080,20280.97,5386.19,0,567,268
63172,200001,2,1,936,8745,21362.29,336.44,0,882,269
164230,200403,4,2,1856,6667,15184.95,648.11,0,738,270
121371,200109,3,2,1248,7730,4752.99,357.67,0,572,271
155991,200311,3,2,1569,5502,22359.53,352.24,0,654,272
90084,200108,4,2,1522,10188,9864.43,248.59,0,318,273
395293,200408,4,3,3019,12888,22016.85,86.67,1,549,274
236608,200408,4,3,2529,12593,26639.18,1701.8,0,487,275
162775,200208,4,2,2052,6050,21318.05,291.66,0,895,276
118153,200012,2,1,888,6052,2120.35,724.07,0,965,277
197601,200408,3,2,2400,8790,22569.56,798.91,0,53,278
280011,200408,4,3,3363,9344,18007.64,769.04,0,605,279
184845,200402,3,2,1933,29149,28451.93,442.37,0,849,280
144608,200402,3,2,1327,11175,11256.71,365.4,1,423,281
129400,200001,3,2,1729,7155,15887.65,43.41,0,47,282
92184,200010,3,2,1427,4722,8451.93,803,0,379,283
99625,200308,2,2,966,3948,11683.21,1770.19,0,133,284
155572,200408,3,2,1480,16147,12099.03,24.28,0,570,285
154736,200110,3,2,1928,8055,18950.28,649.98,0,477,286
77916,200201,3,1,1130,7909,12683.48,845.13,0,426,287
233113,200406,4,2.5,2315,15322,23992.21,582.32,1,787,288
143760,200407,3,2,1140,3570,598.23,452.45,0,832,289
82004,200412,3,1,1350,8711,3746.14,253.11,0,483,290
102730,200003,2,1,1034,13479,3008.07,340.29,0,59,291
332861,200206,5,3.5,2988,9594,15668.7,2431.83,1,803,292
478467,200210,4,3,2292,55308,17453.87,116.44,1,328,293
116809,200205,3,2,1209,8864,17124.29,5354.5,0,141,294
591942,200501,4,3,2393,12454,8298.42,157.98,0,859,295
127426,200410,4,2,1490,7999,10335.58,1285.16,0,883,296
357065,200410,3,2.5,2380,6137,4856.21,583.19,0,286,297
98008,200201,3,2,1216,5061,17223.57,1368.93,0,709,298
205109,200407,4,2,2023,9489,23387.19,488.05,0,820,299
333139,200203,5,3,3585,15741,14821.24,665.66,1,31,300
119703,200212,3,2.5,1428,2947,14748.29,188.42,0,996,301
54374,200106,1,1,1628,6799,3045.28,445.48,0,566,302
103019,200206,3,2,1452,10070,9258.93,1167.68,0,168,303
148361,200312,3,2,1483,5000,19100.92,1991.3,0,517,304
183297,200104,4,2,2206,8629,14357.54,500.85,0,138,305
103027,200406,4,3,2257,9839,8979.09,2431.4,0,523,306
211113,200401,3,2,2216,9267,23845.64,192.43,0,432,307
102691,200402,3,2,1093,6571,10437.99,197.35,0,498,308
89282,200301,3,2,1066,7383,15276.96,452.97,0,131,309
174561,200306,3,2,1944,11595,14313.63,926.03,0,760,310
159065,200406,2,1,1173,7800,3127.5,135.38,0,565,311
180685,200207,4,3,2371,11628,14865.62,387.33,0,438,312
170468,200402,3,2.5,1850,2555,15253.9,849.92,0,454,313
148918,200406,3,2,1432,11299,11356.51,2177.78,0,670,314
102908,200201,2,1,1056,9077,5141.07,245.17,0,155,315
221055,200308,6,4,4022,10874,21265.74,152.03,0,547,316
217022,200306,3,2.5,2486,13931,20416.85,1044.64,0,241,317
248272,200301,4,2,1653,7692,3935.29,21.87,0,645,318
235756,200105,5,3,3163,9003,16361.97,732.89,1,954,319
258931,200308,4,3,2579,18526,25898.39,1500.95,1,101,320
